"Table 5-6
 Private Health Insurance by Sponsor:  Calendar Years 1987-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance ,$144.5,$170.1,$197.9,$225.9,$246.8,$266.0,$285.4,$298.8,$315.0,$333.2,$349.3,$371.3,$401.5,$441.0,$483.4,$537.5,$589.3,$626.1,$671.1,$705.7,$748.6,$769.7,$794.8,$820.2,$851.0,$878.1,$879.3,$922.5,$976.3,"$1,028.3","$1,077.8","$1,124.3","$1,152.9","$1,147.9","$1,230.3","$1,313.8","$1,464.6"
Private Business ,81.6,93.9,109.5,124.7,133.6,144.6,153.6,160.2,169.6,182.7,186.8,200.7,220.7,244.1,264.7,287.3,313.0,328.4,351.1,359.4,380.3,382.7,391.8,392.2,408.9,423.7,419.2,431.1,442.8,467.0,492.6,515.8,533.6,522.8,568.3,606.6,685.5
"Private Business Contribution to Employer-Sponsored Private 
   Health Insurance Premiums1",81.6,93.9,109.5,124.7,133.6,144.6,153.6,160.2,169.6,182.7,186.8,200.7,220.7,244.1,264.7,287.3,313.0,328.4,351.1,359.4,380.3,382.7,391.8,392.2,408.9,423.7,419.2,431.1,442.8,467.0,492.6,515.8,533.6,522.8,568.3,606.6,685.5
Households  ,42.6,51.1,58.7,66.0,74.3,79.1,85.6,89.6,96.6,99.4,108.2,114.5,118.7,128.1,141.2,161.0,176.1,188.3,200.3,212.8,225.9,243.3,248.6,257.5,263.6,275.9,278.3,284.6,305.2,316.9,331.1,337.7,350.1,356.6,364.3,389.1,421.1
"Household Contribution to Employer-Sponsored Private Health
   Insurance Premiums2",30.6,37.6,44.3,50.0,56.9,60.3,65.0,68.3,75.5,78.4,86.3,92.0,94.5,102.3,113.9,130.5,142.7,153.1,164.6,177.9,191.6,208.4,210.3,215.6,218.9,228.9,227.3,220.9,233.6,243.3,260.0,263.8,276.8,284.6,292.5,316.9,345.2
Household Contribution to Direct Purchase Insurance3,12.0,13.6,14.4,16.0,17.4,18.8,20.7,21.3,21.2,21.0,21.9,22.5,24.2,25.8,27.3,30.4,33.5,35.2,35.7,34.9,34.3,34.9,38.2,41.8,44.7,47.1,51.0,63.7,71.6,73.6,71.1,73.9,73.2,72.1,71.8,72.2,75.9
Federal Government            ,4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,28.1,28.5,28.9,32.7,35.0,39.5,35.1,34.6,52.3,64.7,73.6,82.9,94.8,95.0,99.8,112.1,124.4,146.9
